path,sloc,normalized_sloc,cyclomatic,halstead,maintainability,churn,churn_per_sloc,decayed_churn,decayed_churn_per_sloc,smell_count,smell_severity,smell_burden,smells,similarity_score,similarity_band,match_count,score,norm_normalized_sloc,norm_sloc,norm_cyclomatic,norm_halstead,norm_maintainability,norm_churn,norm_churn_per_sloc,norm_decayed_churn,norm_decayed_churn_per_sloc,norm_smell_count,norm_match_count,norm_similarity_score
BusinessGlossaryKG/graph_build/llm_transformer_iteration.py::process_documents_with_transformer._process_doc_with_retry,130,2.2322,24,267,47,428,3.2923,130.2739,1.0021,2,0.7250,0.4458,"{""switch_statements"": 1, ""long_method"": 1}",72.6000,medium,0,24.0506,0.9464,1.0000,1.0000,0.8005,0.3120,1.0000,1.0000,1.0000,1.0000,0.3000,0.0000,1.0000
legal_RAG/rag_workflows/aql_workflow.py::create_graphrag_workflow.extract_entities_step,50,0.5674,21,190,100,197,3.9400,56.2996,1.1260,0,0.0000,0.0000,{},59.2700,low,0,23.6458,0.6135,1.0000,1.0000,0.6700,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/graph_improvement/cycle_resolution.py::resolve_cycles,46,0.4841,6,56,73,497,10.8043,166.0726,3.6103,1,0.6000,0.3417,"{""long_parameter_list"": 1}",44.3800,none,0,21.6616,0.5968,1.0000,0.1800,0.1800,0.7600,1.0000,1.0000,1.0000,1.0000,0.1500,0.0000,1.0000
legal_RAG/rag_workflows/aql_workflow.py::create_graphrag_workflow.route_by_complexity,4,-0.3899,3,14,100,95,23.7500,27.1495,6.7874,0,0.0000,0.0000,{},81.8700,medium,1,20.3622,0.4220,1.0000,0.0500,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.3000,1.0000
BusinessGlossaryKG/graph_build/graph_improvement/cycle_resolution.py::resolve_cycles._run_impl,6,-0.3483,1,0,73,364,60.6667,121.6306,20.2718,0,0.0000,0.0000,{},52.2800,low,0,20.2718,0.4303,1.0000,0.0000,0.0000,0.7600,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
legal_RAG/rag_workflows/aql_workflow.py::create_graphrag_workflow.seed_plan_parallel_step.select_relationships,21,-0.0361,10,70,100,147,7.0000,42.0103,2.0005,0,0.0000,0.0000,{},47.6100,none,0,20.0049,0.4928,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/schema/relationships.py::_load_relationship_schemas_subset,3,-0.4107,1,0,0,175,58.3333,57.2096,19.0699,0,0.0000,0.0000,{},100.0000,high,2,19.0699,0.4179,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.5000,1.0000
BusinessGlossaryKG/graph_build/taxonomy_iteration.py::run_taxonomy_iteration._process_node_section_with_retry,175,3.1686,28,513,83,346,1.9771,116.3276,0.6647,3,0.6833,0.4667,"{""long_parameter_list"": 1, ""switch_statements"": 1, ""long_method"": 1}",53.4100,low,0,18.6124,1.0000,1.0000,1.0000,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,0.4333,0.0000,1.0000
legal_RAG/rag_workflows/aql_workflow.py::create_graphrag_workflow.route_after_check,6,-0.3483,4,16,100,97,16.1667,27.7211,4.6202,0,0.0000,0.0000,{},81.8700,medium,1,18.4807,0.4303,1.0000,0.0750,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.3000,1.0000
BusinessGlossaryKG/graph_build/relationships_merge.py::validate_and_filter_relationships,11,-0.2442,4,18,62,149,13.5455,49.7884,4.5262,0,0.0000,0.0000,{},61.7200,low,0,18.1049,0.4512,1.0000,0.0750,0.0000,0.5520,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_utilities/transitive_reduction.py::compute_transitive_reduction,202,3.7305,63,644,50,303,1.5000,54.5660,0.2701,2,0.7250,0.4458,"{""switch_statements"": 1, ""long_method"": 1}",53.0000,low,0,17.0181,1.0000,1.0000,1.0000,1.0000,0.3600,1.0000,1.0000,1.0000,0.8052,0.3000,0.0000,1.0000
BusinessGlossaryKG/graph_build/taxonomy_iteration.py::run_taxonomy_refinement._execute._run_refinement_loop,139,2.4195,24,670,83,285,2.0504,95.8190,0.6893,2,0.7250,0.4458,"{""switch_statements"": 1, ""long_method"": 1}",83.4300,medium,1,16.5443,0.9839,1.0000,1.0000,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,0.3000,0.3000,1.0000
BusinessGlossaryKG/graph_build/relationships_merge.py::_filter_invalid_relationships,66,0.9003,18,200,62,177,2.6818,59.1446,0.8961,1,0.7500,0.4167,"{""switch_statements"": 1}",51.8100,low,0,16.1303,0.6801,1.0000,0.9000,0.7000,0.5520,1.0000,1.0000,1.0000,1.0000,0.1500,0.0000,1.0000
BusinessGlossaryKG/graph_build/node_enrichment.py::_create_enrichment_transformer,64,0.8587,15,96,52,202,3.1562,67.9138,1.0612,6,0.5917,0.5458,"{""long_parameter_list"": 1, ""unused_parameters"": 1, ""dead_code"": 2, ""speculative_generality"": 2}",54.5300,low,0,15.9173,0.6717,1.0000,0.7500,0.3800,0.3920,1.0000,1.0000,1.0000,1.0000,0.7600,0.0000,1.0000
BusinessGlossaryKG/graph_build/node_enrichment.py::run_node_enrichment,243,4.5837,8,942,52,1429,5.8807,480.4397,1.9771,2,0.6500,0.4083,"{""long_parameter_list"": 1, ""long_method"": 1}",64.0900,low,0,15.8169,1.0000,1.0000,0.3400,1.0000,0.3920,1.0000,1.0000,1.0000,1.0000,0.3000,0.0000,1.0000
BusinessGlossaryKG/graph_build/relationships_merge.py::deduplicate_relationships,97,1.5454,30,318,62,151,1.5567,50.4567,0.5202,2,0.7250,0.4458,"{""switch_statements"": 1, ""long_method"": 1}",52.5300,low,0,15.6052,0.8091,1.0000,1.0000,0.8770,0.5520,1.0000,1.0000,1.0000,1.0000,0.3000,0.0000,1.0000
legal_RAG/rag_workflows/aql_workflow.py::create_graphrag_workflow.fetch_profile_step,43,0.4217,20,238,100,117,2.7209,33.4368,0.7776,0,0.0000,0.0000,{},60.3600,low,0,15.5520,0.5843,1.0000,1.0000,0.7570,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
